ClaimNumber,PolicyNumber, ClaimAmount ,LossDate,ReportDate
C900193,P103482,5274,11/16/2014,11/22/2014
C900194,P102222,2821,11/12/2014,11/22/2014
C900195,P102658,4460,11/7/2014,11/23/2014
C900196,P101839,5572,10/14/2014,11/24/2014
C900197,P102195,7960,8/15/2014,11/25/2014
C900198,P102408,17830,8/28/2014,11/25/2014
C900199,P100211,1495,11/23/2014,11/27/2014
C900200,P100933,6876,9/13/2014,11/27/2014
C900201,P103027,8626,9/9/2014,11/27/2014
C900202,P100556,987,6/26/2014,11/28/2014
C900203,P100506,7501,3/30/2014,11/28/2014
C900204,P101223,191,11/3/2014,11/28/2014
C900205,P100478,8559,2/22/2014,11/29/2014
C900206,P101935,7334,7/3/2014,11/30/2014
C900207,P100162,4539,1/15/2014,12/1/2014
C900208,P102401,10519,9/11/2014,12/2/2014
C900209,P102922,24682,8/28/2014,12/3/2014
C900210,P104006,5917,11/18/2014,12/3/2014
C900211,P100402,4226,5/22/2014,12/3/2014
C900212,P101410,7831,5/6/2014,12/3/2014
C900213,P100733,2766,6/17/2014,12/3/2014
C900214,P102696,3368,11/25/2014,12/4/2014
C900215,P101378,2601,5/21/2014,12/5/2014
C900216,P100243,8197,8/28/2014,12/6/2014
C900217,P101767,910,9/2/2014,12/6/2014
C900218,P100042,2375,6/18/2014,12/6/2014
C900219,P101122,7087,8/26/2014,12/7/2014
C900220,P100256,7989,4/9/2014,12/8/2014
C900221,P103387,3428,10/12/2014,12/8/2014
C900222,P101722,2874,10/22/2014,12/8/2014
C900223,P101149,3595,10/5/2014,12/9/2014
C900224,P103695,3957,11/14/2014,12/9/2014
C900225,P101009,17105,10/28/2014,12/10/2014
C900226,P101158,2630,8/8/2014,12/10/2014
C900227,P101496,2242,12/5/2014,12/10/2014
C900228,P103194,2536,9/3/2014,12/10/2014
C900229,P103416,22417,10/27/2014,12/10/2014
C900230,P103177,1962,10/9/2014,12/11/2014
C900231,P102424,5665,12/10/2014,12/12/2014
C900232,P100705,40,9/2/2014,12/13/2014
C900233,P101452,991,7/8/2014,12/13/2014
C900234,P102604,16644,10/27/2014,12/14/2014
C900235,P103619,3795,10/27/2014,12/16/2014
C900236,P102193,5428,8/14/2014,12/17/2014
C900237,P100578,3512,4/13/2014,12/17/2014
C900238,P100707,8995,11/9/2014,12/18/2014
C900239,P100331,2427,4/5/2014,12/19/2014
C900240,P103424,481,12/13/2014,12/20/2014
C900241,P102619,560,9/13/2014,12/20/2014
C900242,P100164,1555,7/11/2014,12/20/2014
C900243,P100626,4115,8/31/2014,12/21/2014
C900244,P100625,5322,8/17/2014,12/22/2014
C900245,P100296,13669,6/21/2014,12/22/2014
C900246,P100693,10368,9/2/2014,12/22/2014
C900247,P100572,312,6/12/2014,12/22/2014
C900248,P101236,1091,5/18/2014,12/22/2014
C900249,P101766,4550,5/30/2014,12/23/2014
C900250,P101459,7131,10/27/2014,12/24/2014
C900251,P101755,6176,12/9/2014,12/25/2014
C900252,P102101,1629,7/28/2014,12/25/2014
C900253,P100531,1998,8/11/2014,12/26/2014
C900254,P103865,802,12/11/2014,12/26/2014
C900255,P100666,5940,8/25/2014,12/26/2014
C900256,P100249,4104,2/16/2014,12/27/2014
C900257,P101237,12792,4/6/2014,12/27/2014
C900258,P103989,197,12/7/2014,12/28/2014
C900259,P102929,10321,9/30/2014,12/28/2014
C900260,P101740,2855,10/2/2014,12/29/2014
C900261,P101277,1548,10/6/2014,12/30/2014
C900262,P101410,1195,11/27/2014,12/31/2014
C900263,P100228,6481,1/20/2014,1/1/2015
C900264,P102383,9381,9/25/2014,1/1/2015
C900265,P104199,343,12/15/2014,1/2/2015
C900266,P100357,1517,8/16/2014,1/2/2015
C900267,P101174,2253,9/15/2014,1/2/2015
C900268,P100474,1604,8/23/2014,1/2/2015
C900269,P101000,1813,10/26/2014,1/3/2015
C900270,P101184,151,12/13/2014,1/4/2015
C900271,P102919,502,11/2/2014,1/4/2015
C900272,P103503,35034,12/8/2014,1/4/2015
C900273,P102320,2313,12/30/2014,1/5/2015
C900274,P101332,453,8/18/2014,1/5/2015
C900275,P100342,1362,4/10/2014,1/5/2015
C900276,P101775,1533,10/23/2014,1/7/2015
C900277,P103501,2110,10/24/2014,1/7/2015
C900278,P100402,847,10/26/2014,1/7/2015
C900279,P100846,5232,12/10/2014,1/8/2015
C900280,P101709,5653,11/23/2014,1/8/2015
C900281,P101982,4931,8/23/2014,1/8/2015
C900282,P101965,206,11/19/2014,1/8/2015
C900283,P102580,1407,9/18/2014,1/8/2015
C900284,P102511,32125,12/30/2014,1/9/2015
C900285,P102684,8913,7/31/2014,1/9/2015
C900286,P100105,4846,12/25/2014,1/10/2015
C900287,P102327,4788,8/21/2014,1/11/2015
C900288,P103817,536,10/26/2014,1/11/2015
C900289,P100231,3531,12/31/2014,1/11/2015
C900290,P100634,12757,5/30/2014,1/11/2015
C900291,P100642,1279,8/1/2014,1/12/2015
C900292,P100608,4000,9/9/2014,1/12/2015
C900293,P101544,5126,12/6/2014,1/13/2015
C900294,P102610,7083,10/19/2014,1/14/2015
C900295,P101057,2834,8/17/2014,1/15/2015
C900296,P103443,378,10/11/2014,1/15/2015
C900297,P100290,2180,6/13/2014,1/16/2015
C900298,P100083,10973,12/20/2014,1/16/2015
C900299,P100011,4681,5/27/2014,1/17/2015
C900300,P100487,485,6/27/2014,1/17/2015
C900301,P100848,1417,4/23/2014,1/17/2015
C900302,P100001,6615,3/2/2014,1/18/2015
C900303,P102941,535,11/9/2014,1/18/2015
C900304,P102440,2355,9/14/2014,1/19/2015
C900305,P100179,13350,8/8/2014,1/19/2015
C900306,P100536,3500,11/1/2014,1/19/2015
C900307,P102651,4908,9/28/2014,1/19/2015
C900308,P102480,444,11/1/2014,1/19/2015
C900309,P103347,832,11/21/2014,1/21/2015
C900310,P100963,285,10/26/2014,1/21/2015
C900311,P104801,14766,1/4/2015,1/21/2015
C900312,P100781,1627,10/16/2014,1/22/2015
C900313,P102784,536,10/14/2014,1/23/2015
C900314,P100789,1794,9/14/2014,1/23/2015
C900315,P100542,400,8/8/2014,1/23/2015
C900316,P101189,7553,11/30/2014,1/23/2015
C900317,P100537,4493,5/21/2014,1/23/2015
C900318,P102540,2630,7/18/2014,1/23/2015
C900319,P101451,6175,5/21/2014,1/25/2015
C900320,P100817,11081,9/10/2014,1/26/2015
C900321,P103160,17454,10/23/2014,1/27/2015
C900322,P102164,338,11/26/2014,1/27/2015
C900323,P101841,3882,12/6/2014,1/28/2015
C900324,P104546,3932,1/7/2015,1/28/2015
C900325,P102367,13470,7/8/2014,1/29/2015
C900326,P100644,3355,11/24/2014,1/29/2015
C900327,P101580,2823,1/22/2015,1/29/2015
C900328,P100480,6221,12/7/2014,1/29/2015
C900329,P102190,16009,9/5/2014,1/29/2015
C900330,P100018,7069,10/27/2014,1/30/2015
C900331,P102036,4409,8/8/2014,1/30/2015
C900332,P102075,5575,7/28/2014,1/30/2015
C900333,P101295,27118,1/27/2015,1/31/2015
C900334,P100997,510,5/19/2014,1/31/2015
C900335,P100065,1738,6/16/2014,2/1/2015
C900336,P100675,203,7/7/2014,2/1/2015
C900337,P101141,1018,1/10/2015,2/2/2015
C900338,P102516,11,11/25/2014,2/2/2015
C900339,P100693,1894,5/1/2014,2/3/2015
C900340,P103232,5497,1/6/2015,2/3/2015
C900341,P102007,1593,1/18/2015,2/3/2015
C900342,P102067,1824,12/13/2014,2/4/2015
C900343,P102831,11236,11/30/2014,2/5/2015
C900344,P100221,11353,5/29/2014,2/5/2015
C900345,P103606,2936,11/20/2014,2/5/2015
C900346,P100663,6590,1/30/2015,2/5/2015
C900347,P102082,1688,11/7/2014,2/6/2015
C900348,P100372,595,8/20/2014,2/6/2015
C900349,P102994,2402,8/31/2014,2/7/2015
C900350,P102068,1731,12/17/2014,2/7/2015
C900351,P103137,5866,12/30/2014,2/8/2015
C900352,P100735,921,1/19/2015,2/8/2015
C900353,P101702,6247,10/19/2014,2/9/2015
C900354,P101991,240,11/22/2014,2/9/2015
C900355,P102718,5032,8/4/2014,2/9/2015
C900356,P101672,1510,12/3/2014,2/10/2015
C900357,P100637,3561,6/8/2014,2/10/2015
C900358,P100472,8830,9/26/2014,2/10/2015
C900359,P103370,4110,12/14/2014,2/10/2015
C900360,P102200,1028,8/4/2014,2/11/2015
C900361,P101046,902,7/26/2014,2/12/2015
C900362,P102949,2077,10/21/2014,2/12/2015
C900363,P101204,4228,12/17/2014,2/13/2015
C900364,P103494,8626,10/29/2014,2/13/2015
C900365,P100839,56,1/11/2015,2/14/2015
C900366,P101562,6001,7/24/2014,2/14/2015
C900367,P103324,12276,10/29/2014,2/15/2015
C900368,P101564,5399,12/8/2014,2/15/2015
C900369,P101729,5979,11/12/2014,2/17/2015
C900370,P102112,5540,11/22/2014,2/18/2015
C900371,P100990,296,8/29/2014,2/18/2015
C900372,P100098,1573,11/27/2014,2/18/2015
C900373,P101628,209,12/5/2014,2/19/2015
C900374,P100715,9974,12/14/2014,2/19/2015
C900375,P103030,1407,1/10/2015,2/19/2015
C900376,P101627,2545,12/24/2014,2/20/2015
C900377,P100494,3235,12/25/2014,2/20/2015
C900378,P101381,4443,1/4/2015,2/21/2015
C900379,P102736,1628,8/20/2014,2/22/2015
C900380,P101691,6307,12/10/2014,2/22/2015
C900381,P101633,2802,9/4/2014,2/23/2015
C900382,P100865,2811,1/11/2015,2/23/2015
C900383,P103040,705,1/30/2015,2/23/2015
C900384,P103322,33,1/10/2015,2/24/2015
C900385,P101398,1248,2/9/2015,2/25/2015
C900386,P104091,8172,12/7/2014,2/26/2015
C900387,P101428,2647,10/16/2014,2/26/2015
C900388,P104229,1856,1/5/2015,2/26/2015
C900389,P102308,2849,8/7/2014,2/26/2015
C900390,P103468,3272,11/15/2014,2/27/2015
C900391,P101889,1848,9/27/2014,2/27/2015
C900392,P101410,6929,9/21/2014,2/28/2015
C900393,P104070,546,12/26/2014,2/28/2015
C900394,P103302,2664,1/21/2015,2/28/2015
C900395,P104127,5773,12/7/2014,2/28/2015
C900396,P101556,25368,9/21/2014,3/1/2015
C900397,P101414,138,2/26/2015,3/3/2015
C900398,P100206,458,11/21/2014,3/3/2015
C900399,P101961,5994,9/4/2014,3/4/2015
C900400,P101563,1031,12/25/2014,3/4/2015
C900401,P101060,5189,8/21/2014,3/4/2015
C900402,P101648,3953,1/10/2015,3/4/2015
C900403,P100749,1339,12/16/2014,3/5/2015
C900404,P101484,2689,2/8/2015,3/5/2015
C900405,P102862,6137,1/23/2015,3/5/2015
C900406,P102033,2334,12/14/2014,3/5/2015
C900407,P100205,511,12/25/2014,3/5/2015
C900408,P103006,5584,10/16/2014,3/5/2015
C900409,P102757,2074,3/4/2015,3/5/2015
C900410,P103079,4220,11/8/2014,3/6/2015
C900411,P101918,3459,6/15/2014,3/6/2015
C900412,P100632,2254,3/27/2014,3/6/2015
C900413,P100616,1894,8/9/2014,3/6/2015
C900414,P100464,1948,5/23/2014,3/6/2015
C900415,P100438,4565,2/22/2014,3/7/2015
C900416,P101298,1316,2/15/2015,3/8/2015
C900417,P100038,8159,2/9/2015,3/8/2015
C900418,P100858,11684,8/17/2014,3/8/2015
C900419,P101898,4087,2/4/2015,3/9/2015
C900420,P101196,17885,2/9/2015,3/9/2015
C900421,P103644,5868,11/29/2014,3/9/2015
C900422,P100218,348,5/15/2014,3/9/2015
C900423,P103594,3621,3/2/2015,3/9/2015
C900424,P100389,18295,3/4/2015,3/9/2015
C900425,P101377,2613,9/26/2014,3/10/2015
C900426,P101002,4971,9/28/2014,3/10/2015
C900427,P104407,321,3/3/2015,3/11/2015
C900428,P102391,566,2/21/2015,3/11/2015
C900429,P103777,577,10/28/2014,3/11/2015
C900430,P103481,2200,10/8/2014,3/12/2015
C900431,P101150,5028,6/9/2014,3/12/2015
C900432,P103700,1074,1/7/2015,3/13/2015
C900433,P101939,6024,7/11/2014,3/14/2015
C900434,P101544,2182,2/8/2015,3/15/2015
C900435,P100388,11324,3/13/2014,3/15/2015
C900436,P100901,4166,5/27/2014,3/16/2015
C900437,P101476,321,1/20/2015,3/16/2015
C900438,P102267,143,1/13/2015,3/16/2015
C900439,P103119,69,1/20/2015,3/17/2015
C900440,P102939,632,3/3/2015,3/17/2015
C900441,P103966,5446,11/24/2014,3/17/2015
C900442,P100387,1323,8/9/2014,3/17/2015
C900443,P104669,4456,1/7/2015,3/18/2015
C900444,P100422,300,5/10/2014,3/18/2015
C900445,P100669,2514,2/28/2014,3/19/2015
C900446,P101288,2166,3/5/2015,3/19/2015
C900447,P102000,7755,10/16/2014,3/19/2015
C900448,P104172,207,11/15/2014,3/20/2015
C900449,P105045,3157,3/19/2015,3/20/2015
C900450,P104718,5735,3/16/2015,3/20/2015
C900451,P103220,9995,10/28/2014,3/21/2015
C900452,P100961,1511,6/11/2014,3/23/2015
C900453,P100556,3648,7/2/2014,3/23/2015
C900454,P100596,2568,8/21/2014,3/24/2015
C900455,P100952,7827,8/23/2014,3/25/2015
C900456,P100149,3405,9/30/2014,3/25/2015
C900457,P104072,2094,12/17/2014,3/25/2015
C900458,P100558,12942,11/28/2014,3/25/2015
C900459,P103265,3844,10/12/2014,3/26/2015
C900460,P100035,3221,3/12/2014,3/26/2015
C900461,P104133,24957,3/19/2015,3/26/2015
C900462,P103409,1465,12/9/2014,3/26/2015
C900463,P104051,5660,1/17/2015,3/27/2015
C900464,P101339,3602,3/16/2015,3/27/2015
C900465,P101538,811,2/28/2015,3/27/2015
C900466,P101168,2844,12/24/2014,3/28/2015
C900467,P103528,6084,1/15/2015,3/28/2015
C900468,P103642,9557,3/3/2015,3/29/2015
C900469,P103448,4230,2/11/2015,3/29/2015
C900470,P103747,14973,11/24/2014,3/30/2015
C900471,P102324,4280,12/22/2014,3/30/2015
C900472,P101815,5589,3/7/2015,3/30/2015
C900473,P104403,7952,12/31/2014,3/30/2015
C900474,P100091,10829,8/30/2014,3/30/2015
C900475,P102251,2995,11/11/2014,3/31/2015
C900476,P100953,647,1/13/2015,3/31/2015
C900477,P100669,935,3/3/2015,3/31/2015
C900478,P103608,1743,10/25/2014,4/1/2015
C900479,P104463,1479,2/14/2015,4/1/2015
C900480,P100719,2296,11/20/2014,4/1/2015
C900481,P100398,1808,4/29/2014,4/1/2015
C900482,P104135,1751,1/6/2015,4/1/2015
C900483,P102149,5910,1/12/2015,4/2/2015
C900484,P100822,770,3/8/2015,4/2/2015
C900485,P101773,2194,7/14/2014,4/3/2015
C900486,P102593,1089,9/21/2014,4/3/2015
C900487,P104079,2285,12/4/2014,4/3/2015
C900488,P104056,18081,12/28/2014,4/3/2015
C900489,P101004,5742,3/26/2015,4/3/2015
C900490,P100422,243,11/26/2014,4/3/2015
C900491,P101221,2426,9/7/2014,4/4/2015
C900492,P101497,1440,2/10/2015,4/4/2015
C900493,P100423,3274,8/13/2014,4/4/2015
C900494,P100840,1892,4/23/2014,4/4/2015
C900495,P103169,8864,10/21/2014,4/4/2015
C900496,P101646,33916,8/7/2014,4/5/2015
C900497,P101061,4422,5/28/2014,4/6/2015
C900498,P103768,4918,1/19/2015,4/8/2015
C900499,P100847,5494,2/5/2015,4/9/2015
C900500,P100420,2010,1/15/2015,4/10/2015
C900501,P102823,2714,4/4/2015,4/10/2015
C900502,P103047,4645,12/6/2014,4/10/2015
C900503,P100565,5429,10/27/2014,4/11/2015
C900504,P103242,1074,12/7/2014,4/11/2015
C900505,P102001,8538,3/27/2015,4/12/2015
C900506,P102109,5904,2/12/2015,4/12/2015
C900507,P100296,9699,12/17/2014,4/12/2015
C900508,P102156,11821,10/4/2014,4/12/2015
C900509,P100038,10950,1/9/2015,4/13/2015
C900510,P104332,849,12/3/2014,4/14/2015
C900511,P103369,768,4/7/2015,4/14/2015
C900512,P102931,4096,10/22/2014,4/14/2015
C900513,P100816,3715,11/22/2014,4/14/2015
C900514,P101598,5612,9/30/2014,4/14/2015
C900515,P102281,14105,1/22/2015,4/14/2015
C900516,P101131,2695,7/20/2014,4/15/2015
C900517,P100931,6248,4/15/2014,4/15/2015
C900518,P102872,217,11/30/2014,4/15/2015
C900519,P105227,12846,4/9/2015,4/16/2015
C900520,P102541,561,2/16/2015,4/16/2015
C900521,P103103,3825,11/15/2014,4/17/2015
C900522,P103616,204,2/15/2015,4/17/2015
C900523,P100017,5562,1/11/2015,4/17/2015
C900524,P100250,55,9/29/2014,4/18/2015
C900525,P102826,15207,12/18/2014,4/19/2015
C900526,P100657,9271,6/6/2014,4/19/2015
C900527,P101114,7111,12/8/2014,4/19/2015
C900528,P101440,4272,9/2/2014,4/19/2015
C900529,P102274,7701,8/29/2014,4/19/2015
C900530,P100675,2116,12/8/2014,4/20/2015
C900531,P102933,717,3/5/2015,4/20/2015
C900532,P101881,12758,2/6/2015,4/20/2015
C900533,P102735,1655,3/19/2015,4/20/2015
C900534,P103316,5236,12/25/2014,4/20/2015
C900535,P102962,723,8/28/2014,4/20/2015
C900536,P103666,6740,1/17/2015,4/20/2015
C900537,P100589,2305,4/15/2015,4/21/2015
C900538,P100262,1206,9/17/2014,4/21/2015
C900539,P104515,5438,3/28/2015,4/22/2015
C900540,P102167,6872,11/12/2014,4/22/2015
C900541,P101663,363,12/8/2014,4/22/2015
C900542,P103211,8126,2/26/2015,4/22/2015
C900543,P104487,3233,1/15/2015,4/23/2015
C900544,P103575,9109,4/20/2015,4/23/2015
C900545,P102475,2650,12/31/2014,4/23/2015
C900546,P101192,2568,12/24/2014,4/24/2015
C900547,P101143,429,2/28/2015,4/24/2015
C900548,P104913,521,3/17/2015,4/24/2015
C900549,P100159,1435,11/5/2014,4/24/2015
C900550,P104396,3298,12/18/2014,4/24/2015
C900551,P101916,3631,4/20/2015,4/25/2015
C900552,P102892,34744,4/25/2015,4/25/2015
C900553,P102875,2349,12/11/2014,4/26/2015
C900554,P104748,18765,12/28/2014,4/26/2015
C900555,P102135,14804,8/24/2014,4/27/2015
C900556,P100425,1446,9/26/2014,4/27/2015
C900557,P101944,7644,12/14/2014,4/28/2015
C900558,P103209,3995,1/20/2015,4/29/2015
C900559,P103390,8544,12/11/2014,4/29/2015
C900560,P101874,4969,1/7/2015,4/30/2015
