PolicyNumber,PolicyStartDate,DrivingFrequency,County
P100407,1/30/2014,High,Riverside
P100408,1/30/2014,Medium,Orange
P100409,1/31/2014,Medium,Los Angeles
P100410,1/31/2014,Low,Orange
P100411,1/31/2014,Medium,San Bernadino
P100412,1/31/2014,Low,Los Angeles
P100413,1/31/2014,Medium,Ventura
P100414,1/31/2014,Medium,Orange
P100415,1/31/2014,Medium,Riverside
P100416,1/31/2014,Medium,Los Angeles
P100417,2/1/2014,Medium,Los Angeles
P100418,2/1/2014,Medium,Riverside
P100419,2/1/2014,Low,Riverside
P100420,2/1/2014,Low,San Bernadino
P100421,2/1/2014,High,Orange
P100422,2/1/2014,High,Ventura
P100423,2/1/2014,Medium,Riverside
P100424,2/1/2014,Medium,Riverside
P100425,2/1/2014,Medium,San Bernadino
P100426,2/1/2014,High,San Bernadino
P100427,2/1/2014,Low,Riverside
P100428,2/1/2014,High,Ventura
P100429,2/1/2014,High,Los Angeles
P100430,2/1/2014,High,Los Angeles
P100431,2/1/2014,Low,Los Angeles
P100432,2/1/2014,Medium,San Bernadino
P100433,2/1/2014,Low,Los Angeles
P100434,2/1/2014,Low,Los Angeles
P100435,2/1/2014,High,Los Angeles
P100436,2/2/2014,Medium,San Bernadino
P100437,2/2/2014,High,Riverside
P100438,2/2/2014,Medium,San Bernadino
P100439,2/2/2014,High,Los Angeles
P100440,2/2/2014,Medium,Los Angeles
P100441,2/2/2014,Low,Riverside
P100442,2/2/2014,Medium,Ventura
P100443,2/2/2014,Medium,Los Angeles
P100444,2/2/2014,Medium,Riverside
P100445,2/2/2014,Medium,Riverside
P100446,2/2/2014,Medium,Los Angeles
P100447,2/3/2014,High,San Bernadino
P100448,2/3/2014,Medium,San Bernadino
P100449,2/3/2014,High,Los Angeles
P100450,2/3/2014,Medium,Riverside
P100451,2/3/2014,Low,Riverside
P100452,2/3/2014,High,San Bernadino
P100453,2/3/2014,High,Riverside
P100454,2/3/2014,Medium,San Bernadino
P100455,2/4/2014,High,Ventura
P100456,2/4/2014,Low,San Bernadino
P100457,2/4/2014,Low,San Bernadino
P100458,2/4/2014,Medium,Ventura
P100459,2/4/2014,Medium,San Bernadino
P100460,2/4/2014,Medium,Ventura
P100461,2/4/2014,Medium,Orange
P100462,2/4/2014,Medium,San Bernadino
P100463,2/4/2014,High,Ventura
P100464,2/5/2014,High,Ventura
P100465,2/5/2014,Medium,San Bernadino
P100466,2/5/2014,Low,San Bernadino
P100467,2/5/2014,Medium,Riverside
P100468,2/5/2014,Medium,Orange
P100469,2/5/2014,High,Los Angeles
P100470,2/5/2014,High,Orange
P100471,2/5/2014,Low,Los Angeles
P100472,2/5/2014,High,Los Angeles
P100473,2/5/2014,Medium,Ventura
P100474,2/5/2014,Low,Los Angeles
P100475,2/5/2014,Medium,Ventura
P100476,2/5/2014,Low,San Bernadino
P100477,2/5/2014,High,Ventura
P100478,2/6/2014,Low,Los Angeles
P100479,2/6/2014,Low,Orange
P100480,2/6/2014,Low,Los Angeles
P100481,2/6/2014,Low,Los Angeles
P100482,2/6/2014,Medium,Los Angeles
P100483,2/6/2014,High,Los Angeles
P100484,2/6/2014,Low,Orange
P100485,2/6/2014,High,Los Angeles
P100486,2/6/2014,Medium,Orange
P100487,2/6/2014,Low,Riverside
P100488,2/7/2014,Low,Orange
P100489,2/7/2014,Medium,Riverside
P100490,2/7/2014,Medium,San Bernadino
P100491,2/7/2014,Low,Riverside
P100492,2/7/2014,Low,San Bernadino
P100493,2/7/2014,Medium,Los Angeles
P100494,2/7/2014,High,Orange
P100495,2/7/2014,Low,Ventura
P100496,2/7/2014,Low,Los Angeles
P100497,2/7/2014,High,San Bernadino
P100498,2/7/2014,High,San Bernadino
P100499,2/7/2014,High,Ventura
P100500,2/7/2014,Medium,Riverside
P100501,2/7/2014,Low,Ventura
P100502,2/8/2014,Medium,Orange
P100503,2/8/2014,Medium,Orange
P100504,2/8/2014,Low,Los Angeles
P100505,2/8/2014,Low,Riverside
P100506,2/8/2014,Medium,Los Angeles
P100507,2/8/2014,Low,Orange
P100508,2/8/2014,Low,Los Angeles
P100509,2/8/2014,Medium,San Bernadino
P100510,2/8/2014,High,San Bernadino
P100511,2/8/2014,High,San Bernadino
P100512,2/8/2014,Medium,San Bernadino
P100513,2/8/2014,High,Ventura
P100514,2/8/2014,High,San Bernadino
P100515,2/8/2014,Low,Riverside
P100516,2/8/2014,High,Riverside
P100517,2/8/2014,Low,Los Angeles
P100518,2/8/2014,Medium,Los Angeles
P100519,2/9/2014,High,Ventura
P100520,2/9/2014,Medium,Ventura
P100521,2/9/2014,Medium,San Bernadino
P100522,2/9/2014,Low,Ventura
P100523,2/9/2014,Medium,Ventura
P100524,2/9/2014,Medium,Los Angeles
P100525,2/9/2014,High,San Bernadino
P100526,2/9/2014,Medium,Los Angeles
P100527,2/10/2014,Low,Los Angeles
P100528,2/10/2014,High,San Bernadino
P100529,2/10/2014,Low,San Bernadino
P100530,2/10/2014,High,San Bernadino
P100531,2/10/2014,Medium,Orange
P100532,2/10/2014,Low,Los Angeles
P100533,2/10/2014,High,San Bernadino
P100534,2/10/2014,Low,Los Angeles
P100535,2/10/2014,Low,San Bernadino
P100536,2/10/2014,High,Los Angeles
P100537,2/11/2014,High,Orange
P100538,2/11/2014,Medium,Ventura
P100539,2/11/2014,Low,Los Angeles
P100540,2/11/2014,Medium,San Bernadino
P100541,2/11/2014,Medium,Los Angeles
P100542,2/11/2014,High,Los Angeles
P100543,2/11/2014,Low,Orange
P100544,2/11/2014,High,Los Angeles
P100545,2/11/2014,Low,Riverside
P100546,2/11/2014,High,San Bernadino
P100547,2/11/2014,Medium,Los Angeles
P100548,2/11/2014,High,Orange
P100549,2/11/2014,High,Orange
P100550,2/11/2014,Low,San Bernadino
P100551,2/11/2014,Medium,Riverside
P100552,2/11/2014,High,San Bernadino
P100553,2/11/2014,High,San Bernadino
P100554,2/11/2014,Low,Riverside
P100555,2/11/2014,High,San Bernadino
P100556,2/11/2014,High,San Bernadino
P100557,2/11/2014,High,Ventura
P100558,2/11/2014,High,Los Angeles
P100559,2/12/2014,Low,Los Angeles
P100560,2/12/2014,High,Orange
P100561,2/12/2014,Medium,Riverside
P100562,2/12/2014,Medium,Orange
P100563,2/12/2014,Medium,Orange
P100564,2/12/2014,Medium,San Bernadino
P100565,2/12/2014,Low,Los Angeles
P100566,2/12/2014,High,Ventura
P100567,2/12/2014,High,Los Angeles
P100568,2/12/2014,Low,Orange
P100569,2/13/2014,Medium,Orange
P100570,2/13/2014,Medium,Orange
P100571,2/13/2014,High,Orange
P100572,2/13/2014,Low,San Bernadino
P100573,2/13/2014,High,San Bernadino
P100574,2/13/2014,Low,Riverside
P100575,2/13/2014,Low,Los Angeles
P100576,2/13/2014,Medium,Los Angeles
P100577,2/13/2014,Low,Orange
P100578,2/13/2014,Low,Ventura
P100579,2/13/2014,High,San Bernadino
P100580,2/13/2014,High,Los Angeles
P100581,2/13/2014,Low,San Bernadino
P100582,2/14/2014,Medium,Los Angeles
P100583,2/14/2014,High,Ventura
P100584,2/14/2014,High,Ventura
P100585,2/14/2014,Low,Los Angeles
P100586,2/14/2014,High,Los Angeles
P100587,2/14/2014,Low,Orange
P100588,2/14/2014,Low,Ventura
P100589,2/14/2014,Medium,Orange
P100590,2/14/2014,Medium,Riverside
P100591,2/14/2014,High,Riverside
P100592,2/15/2014,High,Orange
P100593,2/15/2014,Medium,Los Angeles
P100594,2/15/2014,Medium,Riverside
P100595,2/15/2014,Low,Los Angeles
P100596,2/15/2014,Low,Ventura
P100597,2/15/2014,Low,Los Angeles
P100598,2/15/2014,High,Ventura
P100599,2/15/2014,High,Los Angeles
P100600,2/15/2014,High,Orange
P100601,2/15/2014,High,Los Angeles
P100602,2/15/2014,Medium,Ventura
P100603,2/15/2014,Medium,Ventura
P100604,2/16/2014,Medium,Los Angeles
P100605,2/16/2014,Low,Los Angeles
P100606,2/16/2014,High,Los Angeles
P100607,2/16/2014,Medium,San Bernadino
P100608,2/16/2014,Medium,Orange
P100609,2/16/2014,High,Los Angeles
P100610,2/16/2014,High,Orange
P100611,2/16/2014,Medium,Ventura
P100612,2/16/2014,High,Los Angeles
P100613,2/16/2014,Low,Riverside
P100614,2/16/2014,High,San Bernadino
P100615,2/16/2014,High,Ventura
P100616,2/16/2014,High,Los Angeles
P100617,2/16/2014,Medium,Ventura
P100618,2/17/2014,Low,San Bernadino
P100619,2/17/2014,Low,Ventura
P100620,2/17/2014,Medium,Ventura
P100621,2/17/2014,Low,San Bernadino
P100622,2/17/2014,Low,Riverside
P100623,2/17/2014,Medium,Los Angeles
P100624,2/17/2014,Medium,Ventura
P100625,2/17/2014,Medium,Riverside
P100626,2/17/2014,High,San Bernadino
P100627,2/17/2014,High,Ventura
P100628,2/17/2014,High,Orange
P100629,2/17/2014,Medium,San Bernadino
P100630,2/17/2014,High,San Bernadino
P100631,2/17/2014,Medium,Los Angeles
P100632,2/17/2014,High,San Bernadino
P100633,2/17/2014,High,Riverside
P100634,2/18/2014,Medium,Los Angeles
P100635,2/18/2014,Medium,Los Angeles
P100636,2/18/2014,Low,San Bernadino
P100637,2/18/2014,High,Ventura
P100638,2/18/2014,Medium,Riverside
P100639,2/18/2014,High,Riverside
P100640,2/18/2014,Medium,Riverside
P100641,2/18/2014,Medium,San Bernadino
P100642,2/18/2014,High,Los Angeles
P100643,2/18/2014,High,Los Angeles
P100644,2/18/2014,High,Ventura
P100645,2/18/2014,Medium,Riverside
P100646,2/18/2014,Medium,Ventura
P100647,2/18/2014,Medium,Los Angeles
P100648,2/18/2014,Medium,San Bernadino
P100649,2/18/2014,High,Riverside
P100650,2/19/2014,Medium,Los Angeles
P100651,2/19/2014,High,San Bernadino
P100652,2/19/2014,Medium,Ventura
P100653,2/19/2014,High,Los Angeles
P100654,2/19/2014,Low,Ventura
P100655,2/19/2014,Low,San Bernadino
P100656,2/19/2014,Medium,San Bernadino
P100657,2/19/2014,High,Orange
P100658,2/19/2014,High,Ventura
P100659,2/19/2014,Medium,Riverside
P100660,2/19/2014,Low,Orange
P100661,2/19/2014,Low,San Bernadino
P100662,2/19/2014,High,Orange
P100663,2/20/2014,Medium,Riverside
P100664,2/20/2014,High,Riverside
P100665,2/20/2014,High,Ventura
P100666,2/20/2014,High,Riverside
P100667,2/20/2014,Low,San Bernadino
P100668,2/20/2014,High,Ventura
P100669,2/20/2014,High,Los Angeles
P100670,2/20/2014,High,San Bernadino
P100671,2/20/2014,High,Los Angeles
P100672,2/21/2014,High,Ventura
P100673,2/21/2014,Low,San Bernadino
P100674,2/21/2014,High,Riverside
P100675,2/21/2014,High,San Bernadino
P100676,2/21/2014,Medium,San Bernadino
P100677,2/21/2014,High,Los Angeles
P100678,2/21/2014,Medium,San Bernadino
P100679,2/21/2014,High,Orange
P100680,2/21/2014,High,Los Angeles
P100681,2/21/2014,Medium,Ventura
P100682,2/21/2014,Medium,Los Angeles
P100683,2/21/2014,Low,Riverside
P100684,2/21/2014,Low,Los Angeles
P100685,2/22/2014,Low,Riverside
P100686,2/22/2014,High,Los Angeles
P100687,2/22/2014,High,Ventura
P100688,2/22/2014,High,Riverside
P100689,2/22/2014,Medium,Ventura
P100690,2/22/2014,High,San Bernadino
P100691,2/22/2014,Medium,Orange
P100692,2/22/2014,Medium,Los Angeles
P100693,2/22/2014,Low,Los Angeles
P100694,2/23/2014,Medium,Riverside
P100695,2/23/2014,Medium,San Bernadino
P100696,2/23/2014,Low,Orange
P100697,2/23/2014,Medium,San Bernadino
P100698,2/23/2014,High,Orange
P100699,2/23/2014,High,Orange
P100700,2/23/2014,Low,Los Angeles
P100701,2/23/2014,High,Riverside
P100702,2/23/2014,Low,Riverside
